,alpha,booster,lambda,nrounds,num.impute.selected.cpo,subsample,colsample_bylevel,colsample_bytree,eta,gamma,max_depth,min_child_weight,rate_drop,skip_drop,trainsize,repl,start_time,end_time,metric:acc [0.0; 1.0] (maximize),seed,status,config_id
276,1096.6331584284585,dart,0.0009118819655545162,7,impute.hist,1.0,1.0,0.01,1.0,4.5399929762484854e-05,1,148.4131591025766,0.0,1.0,1.0,10,9199.999999999989,9233.333333333323,0.089031585,1234,success,276
277,1096.6331584284585,dart,0.0009118819655545162,7,impute.mean,1.0,0.01,1.0,1.0,4.5399929762484854e-05,1,2.718281828459045,0.0,0.0,1.0,10,9233.333333333323,9266.666666666657,0.10669739,1234,success,277
278,1096.6331584284585,dart,0.0009118819655545162,2981,impute.hist,0.1,0.01,1.0,0.0009118819655545162,7.38905609893065,1,2.718281828459045,1.0,0.0,1.0,10,9266.666666666657,9299.99999999999,0.671212,1234,success,278
279,0.0009118819655545162,dart,0.0009118819655545162,2981,impute.mean,1.0,1.0,0.01,0.0009118819655545162,7.38905609893065,15,2.718281828459045,1.0,1.0,1.0,10,9299.99999999999,9333.333333333325,0.88681144,1234,success,279
280,1096.6331584284585,gbtree,1096.6331584284585,7,impute.hist,1.0,1.0,0.01,0.0009118819655545162,7.38905609893065,15,148.4131591025766,0.5,0.5,1.0,10,9333.333333333325,9366.666666666659,0.096689336,1234,success,280
281,0.0009118819655545162,dart,1096.6331584284585,7,impute.hist,0.1,1.0,0.01,0.0009118819655545162,4.5399929762484854e-05,1,148.4131591025766,0.0,0.0,1.0,10,9366.666666666659,9399.999999999993,0.10181252,1234,success,281
282,0.0009118819655545162,dart,1096.6331584284585,2981,impute.hist,1.0,1.0,1.0,0.0009118819655545162,7.38905609893065,15,2.718281828459045,0.0,0.0,1.0,10,9399.999999999993,9433.333333333327,0.86884654,1234,success,282
283,1096.6331584284585,dart,1096.6331584284585,7,impute.mean,0.1,0.01,0.01,0.0009118819655545162,7.38905609893065,1,2.718281828459045,1.0,1.0,1.0,10,9433.333333333327,9466.66666666666,0.090322785,1234,success,283
284,0.0009118819655545162,dart,1096.6331584284585,2981,impute.median,1.0,1.0,1.0,1.0,7.38905609893065,15,148.4131591025766,0.0,1.0,1.0,10,9466.66666666666,9499.999999999995,0.497292,1234,success,284
285,1096.6331584284585,dart,1096.6331584284585,7,impute.hist,0.1,0.01,1.0,1.0,7.38905609893065,15,2.718281828459045,0.0,0.0,1.0,10,9499.999999999995,9533.333333333328,0.10324319,1234,success,285
286,0.0009118819655545162,dart,1096.6331584284585,7,impute.median,0.1,0.01,0.01,1.0,7.38905609893065,1,2.718281828459045,0.0,0.0,1.0,10,9533.333333333328,9566.666666666662,0.10211104,1234,success,286
287,0.0009118819655545162,dart,0.0009118819655545162,7,impute.median,0.1,0.01,1.0,1.0,7.38905609893065,1,2.718281828459045,1.0,1.0,1.0,10,9566.666666666662,9599.999999999996,0.4318826,1234,success,287
288,1096.6331584284585,dart,1096.6331584284585,7,impute.hist,1.0,0.01,0.01,0.0009118819655545162,7.38905609893065,15,2.718281828459045,1.0,1.0,1.0,10,9599.999999999996,9633.33333333333,0.098238945,1234,success,288
289,0.0009118819655545162,dart,1096.6331584284585,2981,impute.median,1.0,1.0,1.0,1.0,4.5399929762484854e-05,1,2.718281828459045,0.0,0.0,1.0,10,9633.33333333333,9666.666666666664,0.9911946,1234,success,289
290,0.0009118819655545162,dart,1096.6331584284585,2981,impute.hist,1.0,1.0,1.0,0.0009118819655545162,4.5399929762484854e-05,1,148.4131591025766,1.0,1.0,1.0,10,9666.666666666664,9699.999999999998,0.49965942,1234,success,290
291,0.0009118819655545162,dart,1096.6331584284585,2981,impute.hist,1.0,1.0,1.0,0.0009118819655545162,7.38905609893065,15,2.718281828459045,0.0,1.0,1.0,10,9699.999999999998,9733.333333333332,0.82288826,1234,success,291
292,1096.6331584284585,dart,1096.6331584284585,7,impute.mean,0.1,1.0,0.01,0.0009118819655545162,4.5399929762484854e-05,15,148.4131591025766,1.0,1.0,1.0,10,9733.333333333332,9766.666666666666,0.07713775,1234,success,292
293,0.0009118819655545162,dart,1096.6331584284585,7,impute.hist,0.1,0.01,1.0,1.0,4.5399929762484854e-05,1,148.4131591025766,0.0,0.0,1.0,10,9766.666666666666,9800.0,0.10436917,1234,success,293
294,1096.6331584284585,dart,0.0009118819655545162,2981,impute.median,1.0,1.0,1.0,0.0009118819655545162,7.38905609893065,15,2.718281828459045,0.0,0.0,1.0,10,9800.0,9833.333333333334,0.10373152,1234,success,294
295,0.0009118819655545162,dart,0.0009118819655545162,2981,impute.median,1.0,1.0,0.01,0.0009118819655545162,4.5399929762484854e-05,15,2.718281828459045,1.0,1.0,1.0,10,9833.333333333334,9866.666666666668,0.959783,1234,success,295
296,0.0009118819655545162,gbtree,1096.6331584284585,7,impute.mean,0.1,0.01,1.0,1.0,7.38905609893065,15,148.4131591025766,0.5,0.5,1.0,10,9866.666666666668,9900.000000000002,0.09148323,1234,success,296
297,1096.6331584284585,dart,1096.6331584284585,2981,impute.median,0.1,0.01,1.0,0.0009118819655545162,4.5399929762484854e-05,1,2.718281828459045,0.0,0.0,1.0,10,9900.000000000002,9933.333333333336,0.11321174,1234,success,297
298,1096.6331584284585,dart,1096.6331584284585,7,impute.hist,0.1,1.0,1.0,0.0009118819655545162,4.5399929762484854e-05,15,148.4131591025766,0.0,1.0,1.0,10,9933.333333333336,9966.66666666667,0.09867933,1234,success,298
299,1096.6331584284585,dart,1096.6331584284585,2981,impute.hist,0.1,0.01,0.01,1.0,4.5399929762484854e-05,15,148.4131591025766,1.0,1.0,1.0,10,9966.66666666667,10000.000000000004,0.20429347,1234,success,299
0,0.0009118819655545162,dart,1096.6331584284585,2981,impute.mean,1.0,1.0,0.01,0.0009118819655545162,7.38905609893065,15.0,148.4131591025766,1.0,1.0,1.0,10,0.0,33.333333333333336,0.26382282,2025,success,0
1,0.0009118819655545162,gbtree,0.0009118819655545162,7,impute.median,1.0,1.0,1.0,0.0009118819655545162,4.5399929762484854e-05,1.0,148.4131591025766,0.5,0.5,1.0,10,33.333333333333336,66.66666666666667,0.43906128,2025,success,1
2,0.0009118819655545162,dart,1096.6331584284585,2981,impute.mean,1.0,0.01,0.01,1.0,7.38905609893065,15.0,2.718281828459045,0.0,0.0,1.0,10,66.66666666666667,100.0,0.8495263,2025,success,2
3,1096.6331584284585,dart,0.0009118819655545162,2981,impute.mean,0.1,1.0,1.0,0.0009118819655545162,4.5399929762484854e-05,1.0,2.718281828459045,1.0,1.0,1.0,10,100.0,133.33333333333334,0.25883156,2025,success,3
4,1096.6331584284585,dart,0.0009118819655545162,7,impute.mean,0.1,1.0,0.01,1.0,7.38905609893065,15.0,148.4131591025766,1.0,1.0,1.0,10,133.33333333333334,166.66666666666669,0.08342522,2025,success,4
5,1096.6331584284585,gbtree,0.0009118819655545162,2981,impute.median,0.1,0.01,0.01,0.0009118819655545162,4.5399929762484854e-05,15.0,148.4131591025766,0.5,0.5,1.0,10,166.66666666666669,200.00000000000003,0.088289715,2025,success,5
6,0.0009118819655545162,dart,0.0009118819655545162,7,impute.mean,0.1,0.01,0.01,1.0,4.5399929762484854e-05,15.0,2.718281828459045,0.0,0.0,1.0,10,200.00000000000003,233.33333333333337,0.7939053,2025,success,6
7,0.0009118819655545162,dart,1096.6331584284585,2981,impute.mean,1.0,1.0,0.01,0.0009118819655545162,4.5399929762484854e-05,15.0,2.718281828459045,1.0,1.0,1.0,10,233.33333333333337,266.6666666666667,0.9235039,2025,success,7
8,1096.6331584284585,gbtree,0.0009118819655545162,7,impute.hist,1.0,1.0,1.0,1.0,4.5399929762484854e-05,1.0,2.718281828459045,0.5,0.5,1.0,10,266.6666666666667,300.0,0.09036673,2025,success,8
